username,date,content
Dr_Mario,một năm,"@hackieuhoang Bạn yc phức tạp quá Autocad. Mở cái file trình chiếu ảnh dạng PDF 120 MB load lên rồi đơ luôn, trong khi S21u mở chạy phà phà. Nói chung làm cv thiết kế thì xài iPhone yếu lắm! Quản lý file kém nữa!"
notlove2402,một năm,"@Dr_Mario Làm liên quan tới content, chat chit, video thì được...chứ thuần công việc trao đổi file, văn bản. Lưu, tìm, gửi thì iphone thua đứt đuôi. Mà nói chung là chán...bỏ gần 6 năm rồi."
dra.long10,một năm,@hackieuhoang mở mấy cái quần què này để làm cái gì ? ko có máy tính xách tay hay pc hả
hackieuhoang,một năm,"@dra.long10 Em lạy má. Đi ra ngoài vác theo laptop. Mỗi lần mở lên tìm.chỗ kê, tìm chỗ đặt chuột ( má dùng chuột lap mấy cái này chết liền). Không có cái này. Mỗi lần đi kiểm tra vác cả tập A0 đìa dò xem chuẩn chưa. Chưa kể word, excel cần xem thì mang lap ra mà mở lên. Trong khi chỉ việc cho tay vào túi quần lôi ra. Thẩm du 1 lúc sướng xong lại đút vào ( cấm nghĩ bậy)."
Stephane Bui,một năm,Nói thật mình không thích iPhone tí nào mà càng không thích a dẹp. Chỉ mong một cái Dao cạo của motor và đi kèm cùng với iPad.
Bò kho,một năm,"Năm nào đó khi đổi từ iphone 11 pro lên 14pro. Khui hộp xong thì ... Ớ ... Éo, ... Phí tiền 😔. Chẳng thấy đột phá cái quái j"
notlove2402,một năm,@Bò kho Năm ngoái chứ năm nào a =)))) bán lại mất 1 khúc..
Bò kho,một năm,"@notlove2402 Cái cảm giác nó phí tiền kinh khủng. Do chẳng phải dư dả gì, từ 11 lên 14 là thời gian dài, cứ nghĩ là sẽ nhận lại được cái gì đó mới mẻ tràn ngập công nghệ ... Một trong những lần bỏ tiền mua đồ công nghệ mà thấy thật sự tiếc.🤔"
Dương Quang Thế,một năm,@Bò kho từ 11 lên 14 thấy ngon mà . Nâng cấp đủ thứ từ camera tới thiết kế rồi trải nghiệm. Chỉ là kỳ vọng của người mua cao quá thôi =))). Em nâng cấp từ 6plus qua 12pro thấy cả 1 bầu trời công nghệ và trải nghiệm mới . Ha ha
Bò kho,một năm,"@Dương Quang Thế Nó rất tốt nhưng với cá nhân mình lại đặt vấn đề về sự mới mẻ, thú vị ... Vẫn giao diện đó, vẫn nhưng icon đó cho những tính năng đó ... 🤔. Quẹt qua quẹt lại thì ờ ờ , tất nhiên đồ mới xịn hơn nhưng có đáng với 20 tịu chênh lệch 🤔. 6plus lên 12 thì khác xa đúng òi"
n3v3Rm1nD,một năm,"Thời 2010s đồ vui quá anh nhỉ, bao nhiêu là hãng. Em thì cứ thấy review điện thoại ở tinhte là bay vào xem, thời còn những anh Sơn lazio... Thời đó mỗi đt một vẻ, còn những HTC, LG, BB, Sony, Vega...
Một thời đã xa 😁"
Dương Quang Thế,một năm,"@n3v3Rm1nD mỗi hãng 1 thiết kế 1 điểm nhấn khác nhau, người thì thiết kế thân vỏ kẻ thì trải nghiệm màn hình . Người thì cam khủng với cam 3D ..... Vui chơi cả tháng không hết. Giờ thì mỗi năm chỉ năng cấp và nhấn mạnh mỗi cái camera.."
conmoi,một năm,mua con 512 mà dùng mãi chưa hết 1/3
notlove2402,một năm,@conmoi Nhưng mà nó thoải mái. Chứ cầm 128 khéo lại đầy rồi đấy...muốn đổi 512gb mất 1 khúc khá dài.
conmoi,một năm,@notlove2402 Vâng đúng thế ko phải lo lắng 😃
notlove2402,một năm,@conmoi Nhà e có cháu nhỏ. Quay với chụp hắn suốt...256 cũng sắp đầy rồi.
ngo.tank,một năm,"khi công nghệ đạt đến giới hạn sự thay đổi sau 365 ngày là ko có gì đáng kể, chỉ là những thay đổi nhỏ, ít nhất phải so sánh hai chiếc iphone cách nhau 3 thế hệ mới thấy được sự khác biệt lớn. vấn đề của cuhiep là: a là người làm review anh phải đổi điện thoại hàng năm, nên anh thấy nhàm chán. mà mình đoán chủ quan 90% người đổi iphone hàng năm là reviewer. còn người dùng bình thường như mình thì iphone đã đủ tốt để không cần phải mỗi năm mỗi đổi nữa rồi, thấy hai thế hệ iphone không có sự khác biệt lớn mắc mớ gì phải đổi cho tốn tiền đúng hông. còn luận điểm iphone quá tốt và các đối thủ không thể cạnh tranh lại rồi suy ra iphone làm cho thế giới smartphone nhàm chán thì mình thấy nó cấn cấn kiểu gì. tự dưng anh làm ra sản phẩm tốt mà người dùng ai cũng thích đối thủ cạnh tranh với anh không lại nên anh trở thành tội đồ, phi lý vãi luôn. trên thế giới cũng có rất nhiều sản phẩm biểu tượng mà bản thân sản phẩm đó cũng không có thay đổi nhiều sau mỗi năm ví dụ như: các dòng giày jordan, air max của nike ,máy ảnh leica-M của hãng leica, nước uốn cocacola, đồng hồ rolex v.v..."
nhunhien89,một năm,"Tổng kết lại là iPhone ngày càng giống Android và Android cũng ngày càng giống iPhone. Thế giới đang thay đổi từng ngày trong khi Apple vài năm gần đây cảm giác vẫn cứ dẫm chân tại chỗ, ăn bám quá khứ, mình nghĩ iPhone đã và đang mất dần vị thế sớm muộn gì cũng bị Tàu khựa nó vượt mặt thôi."
notlove2402,một năm,@nhunhien89 Ko thay đổi đột phá thì chắc cũng rụng sớm thôi...
Katze,một năm,"Menu của ios ngày càng rối rắm, phức tạp. Không còn sự đơn giả, hiệu quả như thời mình mới từ Android chuyển qua con iP6s.
Có rất nhiều tính năng và ứng dụng của Apple, hầu hết là những cái mới ra mắt, mình không bao giờ đụng tới."
mirage night,một năm,"Văn của ông Hiệp này quá tệ hại, câu từ thì lủng củng, loạn xạ. Bài dài đấy nhưng đọc cái thứ hành văn này thật sự là tra tấn. Giật tít là đánh giá iPhone 15 Pro max nhưng lan man toàn là iPhone nói chung và so sánh với các hãng khác. Tôi ko thể hiểu sao người này viết lách kém cỏi đến thế mà luôn được đăng bài lên trang chính."
typhu1901,một năm,@mirage night vì tinhte.vn là của Hiệp =)))))
Hocxit,một năm,"giờ chỉ mong iphone có dual app thôi, cho đỡ phải dùng 2 đt"
thailuc111,một năm,"Trước đây mình cũng xem Iphone và đồ Apple là những thứ đáng mơ ước, luôn hấp dẫn. Giờ thì thấy nó cũng bình thường như những thứ cơ bản khác. Tuy nhiên, vẫn cảm thấy đồ Apple mang lại sự ổn định, đáng tin và gắn bó nhiều hơn các sản phẩm của thương hiệu khác, nên vẫn ưu tiên dùng đồ Apple hơn"
nlht,một năm,Mua iphone vì nó làm ra dc tiền. Vậy là vui rồi
HamDzui,một năm,"Chụp hình thì kiếm tiền khó, dễ bị chôm nội dung chứ quay film như Vlog thì dễ hơn nhiều. Phụ kiện gắn vừa iphone để quay film cũng nhiều.

Ngoài ra cái iphone cũng chỉ là cái nền, giờ là App trên iphone, subscription liên quan đến apple ID... ti tỉ thứ thuận tiện nó gắn lên.

Bên cạnh đó dân chơi iPhone cũng có tiền, mua thêm con Android để nghe gọi nhưng khó tích hợp luôn cả hệ sinh thái.

Ông Android đem con bỏ chợ... cái gì cũng hay như sau 3-4 năm hết hỗ trợ thành rác hết như kính thực tế ảo từ S6->S10. Youtube cũng xem chả được"
tiendatmagic,một năm,@HamDzui gì mà 3 4 năm hết hỗ trợ. hỗ trợ 7 năm rồi ông. Cập nhật thông tin đi
HamDzui,một năm,@tiendatmagic Ông xem kính VR đi
tiendatmagic,một năm,@HamDzui kính VR thì liên quan gì đến smartphone? Tui nãy giờ có nói gì đến kính đâu
HamDzui,một năm,"@tiendatmagic Từ Sam Sung S6-S20 hay A53 thì hỗ trợ 3 năm. Từ đó tụt hứng chơi Android. Chưa kể hệ sinh thái làm việc từ PC cho đến laptop hơn thiếu đồng bộ

Mua làm máy phụ vọc vạch… thì hợp lí"
tiendatmagic,một năm,@HamDzui samsung giờ hỗ trợ 7 năm rồi nha
thienduongld,một năm,"ở lại vì Face ID và IOS ổn định, chấm hết"
chan zhi yung,một năm,"trước đây mỗi khi vào cuộc họp hay chỗ nào đông người cần sự im lặng để điện thoại trong túi quần không cần biết là đt đang ở chế độ nào chỉ cần thò tay gạt cái nút xuống kể cả gạt ở ngoài qua 1 lớp quần cũng ok không cần lấy đt ra ngoài, không cần nhìn màn hình, rất tiện lợi và là 1 điểm khác biệt đáng giá so với những đt khác thì giờ ip lại bỏ để chuyển qua nút bấm..đúng là hết cái để làm mới rồi nên thành cải lùi 😔"
Tuyên Mobile,một năm,"Chuẩn. Không còn vui vẻ vì dùng 13 Pro Max, 14 Pro Max 15 Pro Max đều có thiết kế và trải nghiệm y hệt, từ cấu hình, âm thanh, camera, màn hình 120 Hz (Dân chuyên thì so camera hơn tý thôi chứ e đập hộp cả ba thấy trải nghiệm y hệt). IOS quá ổn định mượt mà và tối ưu app thứ 3 ngon là lý do khiến người dùng cuốn vào ko ra được"
tuluan,một năm,"Vui hay ko còn tuỳ, nhưng với 15 prm thì đỉnh rồi."
pqmn92,một năm,"dùng màn oled 4k của Sony Xperia III 1 thời gian rồi nhìn sang iphone thấy màn iphone trông lởm thật sự, nhất là trong đêm tối"
HamDzui,một năm,@pqmn92 Thì tiếp tục dùng Sony đi. Người ta mua đâu phải riêng cái màn hình
pqmn92,một năm,"@HamDzui dùng mấy năm r mà, định thử quay về iphone 15pm cùng vợ mà cầm thử thôi bỏ ý định =))
chờ Xperia 1 VI ra r lên vậy 😃"
Jinnie KTL,một năm,Bài hay quá
kixx,một năm,"nhàm chán ,thì sam ,apple đều chán
nhưng KH cũng ko có nhìu lựa chọn
có công ngệ đột phá ,thì may ra ủi đc iphone ,vd camera AI siu thông minh ,chụp đẹp ,1 shot auto retouch chẳng hạn ,hoặc đth hologram"
Thanh nhan spkt,một năm,Giá cặp iPhone/BTC đang giảm mạnh.
cuhiep,một năm,@Thanh nhan spkt BTC là ban tổ chức ?
_-=TinhTế=-__-=SắcXảo=-_,một năm,"Không còn hứng thức coi apple event nhiều năm nay rồi . Cungx hết hứng dậy sớm coi lại event
Khách không còn muốn mạ vàng iphone nữa
Không còn ai đóng lều ăn dằm nằm dề 1 tháng hay 1 tuần để xếp số 1 đầu tiên khui iphone
Thiết kế mấy con này là tưởng nhớ stev. Dùng bản thiết kế dựa trên hơi hướm iphone 4 ."
doublerick,một năm,"@_-=TinhTế=-__-=SắcXảo=-_ tôi chỉ muốn con này vì đồng bộ type c thôi, chắc đời 16 sẽ bỏ qua"
Khô Hồ,một năm,"Lúc trc apple rục rịch chuẩn bị làm cổng type c trên ip thì có hẳn mấy bài để chê luôn, giờ thì lại khen. THUA"
Jun.88,một năm,"với mình vài năm gần đây ko còn nhu cầu đổi đt mới vì ko có lý do , cảm xúc mà trc đây tạo ra ko có ^^ công năng thì vậy vậy , tất nhiên nó vẫn là đỉnh cao là thước đo để so sánh ,"
huynh tri 1996,một năm,Xài chả khác gì con 11 promax ngoài cpu mạnh hơn camera đẹp hơn.
williamcuong282,một năm,"Đúng là vẫn nên mua iPhone nhưng không nên đú đời mới quá cũng không có nhiều giá trị, có quá nhiều thứ cần mua như dán cho nó 1 tấm da chẳng hạn...🤣🤣🤣 https://tinhte.vn/thread/quay-xe-ve-iphone-13-pro-vi-ios-camera-man-hinh-va-niem-tin-chat-luong.3733475/"
dra.long10,một năm,@williamcuong282 mua quả apple studio display thay cho con asus nữa thì đẹp
williamcuong282,một năm,"@dra.long10 Không cần nha, ProArt 4K đủ nhu cầu rồi. Mới mua nhiều thứ có ích cho đời sống như máy lọc không khí, máy hút bụi hợp lý hơn"
kunsubin,một năm,"giờ này iphone có vẻ quá phổ biến rùi, ra đường đi đâu cũng thấy sài iphone mấy ai sài android đâu nhỉ"
chetdichoroi,một năm,"@kunsubin Chỗ tui làm 39 người thì có 4 người xài ip thôi nè bác. 1 con 12 mini, 1 con 11pr, 1 con 11prm, 1 con 12prm."
hiepmu,một năm,"hãy để đt làm đúng chức năng bao đời nay của nó: nghe, gọi, nhắn tin"
Lion4me,một năm,Dùng iphone vì độ ổn định. mà thế đíu nào dạo này cập nhật càng bất ổn thế hã thằng apple đang làm cái chó gì với ios vậy =)))
quangna,một năm,"Mình vẫn dùng 13 cho nhu cầu nghe gọi nhắn tin, social mỗi ngày. và mình thấy chưa có phiền phức gì để phải đổi lên 15 tại thời điểm này. Thời gian đổi iphone của mình đã kéo từ 2 lên 3 năm và sẽ là 4 năm nếu 16 tiếp tục như hiện tại. Cái cần đổi có lẽ là watch để thu thập thông tin sức khỏe nhiều hơn."
lehuuthe1202,một năm,Mình đang hóng iphone 16 pro max quất luôn
Eldimio,một năm,"Máy nào cũng như máy nào, dùng đơn điệu nhàm chán. Mà Settings trên iP là 1 thứ cực kỳ rắc rối. Người ta bảo iP dễ dùng, nhưng chỉ với những người cầm lên và dùng, còn những người thường xuyên vào Settings như mình lại thấy nó khó sử dụng và rất ngớ ngẩn.
Cho 1 cái ví dụ: Auto brightness không nằm trong menu Display & Brightness mà ở tít trong Accessibility -> Display & Text size"
doublerick,một năm,@Eldimio mình toàn search chứ ko nhớ chi tiết nó
Eldimio,một năm,"@doublerick Còn chi tiết nữa mình thấy ngớ ngẩn hơn đó là không thể từ chối cuộc gọi ở màn hình khoá bằng cách bấm 2 lần nút nguồn nếu tắt chế độ ""power button end call"". Rõ ràng việc reject call và end call là 2 hành động khác nhau nhưng chung 1 option. Tôi không muốn bấm nút nguồn để kết thúc cuộc gọi vì thi thoảng bấm nhầm, nhưng tắt nó đồng nghĩa với việc tôi không thể từ chối cuộc gọi đến."
Võ Thành Quân,một năm,Phần cứng và hệ sinh thái quá tốt nên ko cần suy nghĩ gì thêm
charon666,một năm,"Không gì là mãi mãi, xịn đến mấy dùng hoài cũng chán, tâm lí chung là như vậy 😔"
Dungbro,một năm,"Thực sự là ngày xưa, khi Táo ra SP mới thì mình luôn háo hức muốn được sở hữu nó ngay, đặt và chờ đợi. Như con 11 promax và 13 promax. Còn sau đó thì đến sự kiện còn chả buồn xem,lên tinh tế lướt trước info rồi bỏ qua luôn."
vinhphucng25,một năm,"Em vẫn không thấy iPhone cần thiết với công việc, nhu cầu & sở thích nên chẳng bao giờ muốn quay lại nữa.

Ai xài thì cứ xài, mình không xài cũng không chê bai."
PhươngNguyễn (GaRiHp),một năm,"Hết tháng này bán iphone lấy tiền trã nợ và sống trọ: kkk
ếu quan tâm ku hịp và toanh toé nữa: hhhh"
nongdanmg,một năm,Đọc bài này có cảm giác là 1 bài dịch tự động. Nếu là bài viết thì người viết có văn phong giống như là AI tổng hợp thông tin vậy!
cuhiep,một năm,@nongdanmg bạn nhất xét chuẩn quá... mình không phải người bình tường mà
vinhtroc,một năm,IP giờ cũng thường thôi anh em nhỉ!
Xavier-Au,một năm,"App không giống Android cũng bị nói, giờ giống rồi cũng bị nói. Sao cho vừa lòng anh đây!"
Cường 2020,một năm,"Bài này nên để tiêu đề ""SỰ CẢI LÙI TIỆN LỢI"""
linhpham89,một năm,"Bài viết hay, quan điểm mà nói ra mình mới để ý đến.
Ad thêm 1 chương về việc người dùng bị khóa vào cái smartphone vì hệ sinh thái của nó thì trọn vẹn hơn."
cuhiep,một năm,@linhpham89 cám ơn em 😁
summon_rain,một năm,"Một bài trải nghiệm thật sự rất khách quan và có chiều sâu!
Lâu lắm rồi em mới đọc một bài review đã vậy 😁
Không thể không đồng ý với cả ưu và nhược mà anh chia sẻ, điều mà em không thấy nhiều người nói đến. Rất nhiều reviewer đánh giá cũng không cho em cảm giác chân thật như khi em sử dụng.
Và cái kết rất chính xác ""Nếu ai đó xin mình một lời khuyên chung chung là mua một chiếc smartphone thì mình chắc chắn là khuyên mua iPhone rồi. Và nếu họ chọn điện thoại to thì là iPhone 15 Pro Max. Chẳng có chiếc điện thoại nào khác về tổng thể tốt hơn, sử dụng hiệu quả hơn và trải nghiệm tốt hơn nó cả. Tuy nhiên nó chẳng vượt trội nhiều so với 1 hay 2 đời trước đó. ""
Việc đưa ra lời khuyên cho bạn bè, người thân cần mua 1 chiếc smartphone đã dễ hơn, bản thân em cũng không còn hứng thú khi đổi iPhone mới nữa khi mà những chiếc iPhone cũ vẫn tốt, và thế hệ mới không có gì nổi trội."
cuhiep,một năm,@summon_rain cám ơn em
uochuý1489Quốc Huy,một năm,Nói gì nói Iphone vẫn nằm ở tầm cao
mrkun&blackberry,một năm,"theo mình nghĩ chẳng có chiếc điện thoại nào là tốt nhất cả, tùy vào sở thích và nhu cầu của mỗi người mà thôi, dù là người dùng iphone và yêu thích sp apple, nhưng mình cũng phải công nhận thời gian qua các hãng khác như samsung, xiaomi, huawei họ đã làm rất tốt sản phẩm của họ và có khách hàng riêng của mình mà thôi"
CuogTR,một năm,"bài hia sẻ của anh thực sự hay và trau chuốt. nó đúng với phần lớn người yêi thích iphone nói riêng và apple nói chung. ko còn nhiều đột phá, mọi thứ trở nên rối rắm và trình diễn hơn là tính thực tế và thực dụng."
cuhiep,một năm,@CuogTR hy vọng nhiều người nhìn dc điều này và đòi hỏi apple thay đổi
hoangle1979,một năm,7 năm liền vẫn cái màn hình khuyết tật tai thỏ đó vẫn bán ầm ầm hay thật
Lovetech36,một năm,Giờ kiểu trong thì chán ngoài thì thèm thế thôi.haha
calavikevin,6 tháng,"Mình xem bài này khi sắp chuẩn bị mua 16 pro max. Nhu cầu của mình là 1 chiếc điện thoại được việc, chứ không cần 1 món ""đồ chơi"" vui vẻ. Mình cần cái gì thì nó đều đáp ứng được, đều sẵn sàng phục vụ mình. Mình ko nhắc đến sự hoàn hảo (vì định nghĩa này là khác nhau với mỗi người và hoàn cảnh sử dụng).
=> từ ngày mình xài iPhone 3GS đến nay, thì iPhone qua từng năm vẫn là 1 cái điện thoại ổn định
=> sự tinh tế, ti mỉ , ngăn nắp là thứ mà 1 thằng OCD như mình yêu thích ở apple
=> mình chưa xài món đồ của apple nào như 1 món đồ chơi cả, đều dùng có mục đích cụ thể cho trường hợp cụ thể (và có vẻ như Apple làm sản phẩm có cùng triết lý như thế). Vậy nên với mình, iPhone là hữu dụng, ko có khái niệm chán (vì có chơi đâu mà chán) mà chỉ có khái niệm ko hài lòng ở những điểm chưa tốt (kém hữu dụng, rắc rối, đôi khi là bug) của nó."
